osmid,name,amenity,Longitude,Latitude
770599549,Bergerac,bar,2.4435312,48.8638761
770728185,Café Forum,bar,2.4420478,48.8626362
770728196,La Pêche,bar,2.446561,48.8633184
770728199,Tabac des 7 chemins,bar,2.4467002,48.8679353
770728202,Les Monédières,bar,2.4415701,48.8627118
773602071,Les Parisiens,bar,2.354882,48.8680162
775732044,Café de la Paix,bar,2.4190239,48.805278
775732056,Café le square,bar,2.4201481,48.8049122
775732058,Brasserie de l'Hôtel de Ville,bar,2.4196971,48.8055803
776938194,Le Tennessee,bar,2.3390379,48.8537741
778220091,La Rhumerie,bar,2.3355231,48.853395
795606502,Point Bar,bar,2.3577774,48.8709269
802712707,Le Commerce,bar,2.1331029,48.7020983
806114404,Bar III,bar,2.338545,48.8534529
811326704,El Tonel,bar,2.3323292,48.8643001
812129610,Le Comptoir du Faubourg,bar,2.3211802,48.8706806
813394579,Elysée Lounge,bar,2.316952,48.871252
817974703,Au clair de lune,bar,2.347503,48.8869689
819031352,Le Seven,bar,2.3235567,48.8803557
819101990,L'Atlantique,bar,2.3270417,48.8770026
819176199,Black Tie,bar,2.3270121,48.8766444
822951734,Le Treilhard Bar,bar,2.314835,48.8769627
828825713,Le Crocodile Vert,bar,2.2893109,48.835468
829203592,L'Écluse,bar,2.301724,48.870049
833088653,Le Chaillot,bar,2.298485,48.8683182
836354699,Aux Ours,bar,2.3965533,48.8675571
837769005,Le Narval,bar,2.4056082,48.8526933
842330788,La nébuleuse,bar,2.2902097,48.7630284
857552673,Le Val d'Yerres,bar,2.4908502,48.715917
867450191,Bar de l'industrie,bar,2.3994808,48.8935929
867465826,Le montgolfier,bar,2.4018949,48.8938098
867530737,La chope de l'est,bar,2.3995856,48.8974855
867531159,Le relais du pont,bar,2.3989475,48.8976607
870139090,Le 107,bar,2.2329196,48.8347343
870147959,Brasserie de l'Avenue,bar,2.2353568,48.8312484
887165255,Alfama,bar,2.2140858,48.8844902
887166084,Le Relais des Bergères,bar,2.2258759,48.885364
887167234,Le Cheval Blanc,bar,2.2210226,48.9106978
887167432,La Bergère,bar,2.2262111,48.8853404
892913317,Le Sous Bock Tavern,bar,2.3451379,48.8608729
894713103,Le narval,bar,2.4038197,48.8948135
909529763,Le Gandon,bar,2.3608058,48.8219547
914241249,L'Apostrophe,bar,2.3662628,48.8746858
916588773,Café Leon,bar,2.3534684,48.8903045
916889382,Le Renouveau,bar,2.4966622,48.9427839
918317353,Landon Café,bar,2.3624653,48.8804191
919869826,Brasserie de la Gare,bar,2.4933589,48.9323616
919869922,Le Relais,bar,2.4934737,48.9327222
920623784,Le Maximilien,bar,2.4994756,48.9462281
923269142,L'Ormeteau,bar,2.5063072,48.9430724
923269312,Le Rond Point,bar,2.4940459,48.9359362
925900497,Au 421,bar,2.5155998,48.9137434
951265000,Le Soleil de Bagnolet,bar,2.421497,48.8579822
971476014,Le Julyann,bar,2.3423076,48.8742352
971476082,Le Flash,bar,2.3418014,48.8752057
971476150,Au Général la Fayette,bar,2.3412323,48.8750436
971476164,Le Faubourg,bar,2.3424987,48.8741144
975023635,Le Molière,bar,2.2700634,48.8551767
981370622,Home Sweet Home,bar,2.2403064,48.8312316
985435188,Le Refuge,bar,2.3389104,48.8899959
986014266,Le Brégère,bar,2.2338563,48.8308137
987919341,Sanana,bar,2.2370107,48.8349997
988962930,Bar des Sports,bar,2.4909946,48.9281548
989431912,Le Carillon,bar,2.367859,48.871644
996567273,Café de la Gare,bar,2.5422351,48.8236075
998015392,Opti Bar,bar,2.5448737,48.8240871
998015450,Café de la Paix,bar,2.5428502,48.8250519
1003217472,Au vrai coq du village,bar,2.3422758,48.809069
1007448442,Le Centre,bar,2.542473,48.8272504
1014178576,Kool Zone,bar,2.7782067,48.8669854
1014178603,Coolpost,bar,2.7739099,48.871925
1014690183,La Fronde,bar,2.3560654,48.8594585
1015358394,Le Galvani,bar,2.2895992,48.884166
1015830169,Bar restaurant Les 3 frères,bar,2.3536169,48.8875689
1015988209,Le Trianon,bar,2.545801,48.8274248
1016701570,Le Chiquito,bar,2.2365261,48.8362081
1021202232,Vin & Compagnie,bar,2.5653961,49.0031791
1023222092,Café Belleville,bar,2.3748362,48.8710893
1035459722,Le Rendez-Vous,bar,2.3629301,48.9231575
1035787952,Oued-Rhiou,bar,2.3671561,48.8872163
1037585218,Café Tabac de Juziers,bar,1.8469317,48.991892
1064269040,Le Tiparillo,bar,2.1297262,48.7768974
1069300523,Aux 2 départements,bar,2.597918,48.9382269
1070166598,Rio Grande Bar,bar,2.7960884,48.8729883
1077712817,Le Vizir,bar,2.3179107,48.9669517
1079475689,Bar des Banques,bar,2.0998096,49.0503933
1089280932,Le Monico,bar,2.4942975,48.9312474
1089281036,L'Orée du Parc,bar,2.4948771,48.9312569
1089281050,Au Départ,bar,2.4935163,48.9314298
1094366292,Le Bar'Ouf,bar,2.3523046,48.8626827
1096663299,L'Étoile d'or,bar,2.3783255,48.8184928
1113738981,Au Métro,bar,2.3122657,48.8427362
1113739044,Brasserie Sauret,bar,2.3127675,48.8420308
1114763120,Le Gymnase,bar,2.3797004,48.8850887
